week,team,opponent,AB,H,R,HR,RBI,BB,SO,NSB,AVG,TB,IP,ERA,WHIP,K,W,L,QS,NS,BAA,official_score_for,official_score_against
15,This Is Mizerable,Dixon Cider,304,74,33,8,33,32,71,2,0.243,117,74.1,2.66,0.982,78,4,3,8,4,0.179,8.5,7.5
15,Goodyear Gila Monsters,John's Super Team,329,73,42,11,30,41,100,4,0.222,122,50,4.5,1.320,45,3,4,1,-1,0.253,5.5,10.5
15,John's Super Team,Goodyear Gila Monsters,322,70,38,11,37,34,81,6,0.217,117,49.1,4.2,1.176,34,4,2,2,3,0.229,10.5,5.5
15,You Don't Know Bo,Mactown MacDaddies,307,72,44,16,52,34,75,5,0.235,140,36.1,4.46,1.431,32,2,0,2,0,0.277,11.5,4.5
15,Mactown MacDaddies,You Don't Know Bo,292,71,33,7,25,38,85,0,0.243,106,38.2,5.59,1.474,25,2,4,3,2,0.285,4.5,11.5
16,Gunnarrhea,You Don't Know Bo,454,93,56,20,56,37,143,3,0.205,178,103.2,5.12,1.428,109,4,8,8,6,0.280,5,11
16,You Don't Know Bo,Gunnarrhea,477,120,57,11,44,42,103,8,0.252,179,86.2,2.8,1.177,86,5,4,6,2,0.241,11,5
16,BTA Boyz,Dixon Cider,392,91,43,3,29,43,90,6,0.232,121,97.1,4.9,1.325,103,5,5,8,-3,0.259,1.5,14.5
16,Dixon Cider,BTA Boyz,452,108,71,24,68,55,109,8,0.239,211,102.1,2.2,1.016,125,9,5,11,4,0.203,14.5,1.5
16,John's Super Team,This Is Mizerable,470,130,77,23,70,50,117,7,0.277,218,61.1,2.93,1.141,67,6,3,4,5,0.203,8,8
16,This Is Mizerable,John's Super Team,438,120,63,20,60,36,108,8,0.274,204,95.2,1.88,0.909,104,4,4,9,6,0.185,8,8
16,Mactown MacDaddies,Goodyear Gila Monsters,406,110,58,12,66,44,123,3,0.271,181,56.1,4.95,1.243,54,1,6,3,2,0.249,2,14
16,Goodyear Gila Monsters,Mactown MacDaddies,467,113,64,16,62,57,122,7,0.242,195,96,2.81,0.958,108,7,1,7,10,0.198,14,2
16,Me So Heorny,BB's Bold Team,470,119,74,25,71,57,120,7,0.253,211,100.2,4.29,1.162,107,5,7,7,5,0.244,14,2
16,BB's Bold Team,Me So Heorny,449,117,60,16,57,36,121,4,0.261,198,102,4.76,1.392,101,8,8,6,4,0.260,2,14
17,BB's Bold Team,Gunnarrhea,304,72,31,9,40,40,90,3,0.237,117,78,3.92,1.192,70,6,4,8,0,0.221,7.5,8.5
17,Gunnarrhea,BB's Bold Team,340,87,43,12,28,38,76,0,0.256,141,58,4.03,1.086,63,1,4,2,6,0.211,8.5,7.5
